pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,score_IRIS,score_NEO,score_ALEX,score_EVA,score_consensus
Kepler-230 c,Kepler-230,1,2,Transit,2014,91.773242,2.04,4.82,359.0,5588.0,0.817,0.784,740.754,0.0,88.22301851814676,46.14231851108623,10.14717285844749,36.12812747192012
Kepler-144 b,Kepler-144,1,2,Transit,2014,5.885273,1.33,2.33,1253.0,6075.0,1.235,1.154,384.917,30.0,86.08681053119993,80.0,0.5837210684931406,49.16763289992327
HD 10442 b,HD 10442,1,1,Radial Velocity,2014,1032.3,13.6,472.61321,,4912.0,1.97,1.01,135.374,0.0,74.22814389147595,30.0,10.0,28.557035972868988
Kepler-402 d,Kepler-402,1,4,Transit,2014,8.921099,1.38,2.48,1006.0,6090.0,1.264,1.072,625.339,30.0,91.97118904599161,80.0,0.0,50.4927972614979
Kepler-150 b,Kepler-150,1,5,Transit,2014,3.428054,1.25,2.1,1131.0,5560.0,0.939,0.956,891.092,30.0,88.7874827731561,80.0,2.7817578630136985,50.39231015904245
Kepler-405 b,Kepler-405,1,2,Transit,2014,10.613839,2.08,4.98,785.0,5818.0,0.893,0.873,1065.08,0.0,98.41087441483319,66.10259831171925,0.0,41.12836818163811
Kepler-129 b,Kepler-129,1,3,Transit,2014,15.79,2.4,20.0,910.0,5770.0,1.653,1.178,408.845,0.0,96.1303793621557,80.0,0.0,44.03259484053892
Kepler-414 b,Kepler-414,1,2,Transit Timing Variations,2014,4.7,1.71,3.5,1024.0,5536.0,0.946,0.89,413.46,30.0,92.16851055076668,80.0,0.0,50.54212763769167
Kepler-109 c,Kepler-109,1,2,Transit,2014,21.22265,2.65,8.2,859.0,5950.0,1.387,1.094,474.861,0.0,97.83462776581739,80.0,0.0,44.45865694145435
Kepler-348 c,Kepler-348,1,2,Transit,2014,17.265427,1.33,2.33,888.0,6177.0,1.359,1.189,570.783,30.0,94.64184320278511,80.0,1.5190761917808153,51.54022984864148
HD 40307 f,HD 40307,1,5,Radial Velocity,2013,51.76,2.13,5.2,398.0,4956.0,0.716684,0.77,12.9363,0.0,89.38063268365622,47.96806028501035,2.795913242009135,35.036151552668926
Kepler-128 b,Kepler-128,1,2,Transit,2013,15.0,1.421,3.79,968.0,6072.0,1.659,1.184,396.379,30.0,92.95518514135915,80.0,0.0,50.73879628533979
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,,1523.03372634,,4324.0,0.686355,0.7,20.2695,0.0,87.379799958119,30.0,40.31831232876712,39.424528071721525
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,8.38,53.0,,4324.0,0.686355,0.7,20.2695,0.0,89.14643448262866,30.0,20.35123287671233,34.87441683983525
Kepler-76 b,Kepler-76,1,1,Orbital Brightness Modulation,2013,1.5449298,15.24424,638.8383,2140.0,6409.0,1.32,1.2,822.96,0.0,39.895812951416204,3.8956257932204323,0.0,10.947859686159159
Kepler-91 b,Kepler-91,1,1,Transit,2013,6.24658,15.322703,257.4423,2040.0,4550.0,6.3,1.31,1294.69,0.0,45.27791164561004,7.947468166019235,0.0,13.306344952907319
Kepler-75 b,Kepler-75,1,1,Transit,2013,8.8849116,11.77,3209.9,767.0,5200.0,0.89,0.91,835.356,0.0,56.22457752184986,0.0,0.0,14.056144380462465
Kepler-1704 b,Kepler-1704,1,1,Transit,2013,988.88112,11.94877343,1322.16617312,253.8,5746.0,1.697,1.132,835.455,0.0,57.844273860166155,14.74104249277417,6.4375,19.75570408823508
Kepler-62 e,Kepler-62,1,5,Transit,2013,122.3874,1.61,36.0,270.0,4925.0,0.64,0.69,300.874,46.0,85.1212154339642,41.92585088937341,29.884238356164374,50.732826169875494
Kepler-276 d,Kepler-276,1,3,Transit,2013,48.648,2.8,16.3,489.0,5693.0,1.03,1.1,1144.86,0.0,92.77609431199906,52.05486460007212,0.0,36.2077397280178
Kepler-114 c,Kepler-114,1,3,Transit,2013,8.041,1.6,2.8,507.0,4660.0,0.54,0.56,259.533,30.0,90.97923464572798,53.01057354896746,0.0,43.497452048673864
Kepler-77 b,Kepler-77,1,1,Transit,2013,3.57878087,10.761,136.661,1440.0,5520.0,0.99,0.95,639.411,0.0,68.87256332574577,39.46148176103441,0.0,27.083511271695045
Kepler-396 c,Kepler-396,1,2,Transit,2013,88.505,5.3,17.9,390.0,5656.0,1.06,0.85,223.757,0.0,85.9900225972521,44.80843233635686,6.649383561643834,34.361959623813206
Kepler-92 b,Kepler-92,1,3,Transit,2013,13.749,3.51,64.3,975.0,5883.0,1.7,1.21,477.992,0.0,93.96185493160176,80.0,0.0,43.49046373290044
HATS-3 b,HATS-3,1,1,Transit,2013,3.547851,15.48,340.382,1648.0,6351.0,1.404,1.209,411.211,0.0,53.46660615318321,16.903343210663564,0.0,17.592487340961693
POTS-1 b,POTS-1,1,1,Transit,2013,3.1606296,10.548,734.16,,4400.0,0.588,0.695,747.959,0.0,79.59370039967379,30.0,10.259777775342467,29.963369543754066
Kepler-350 d,Kepler-350,1,3,Transit,2013,26.136,2.8,14.9,782.0,6492.3,1.25,1.0,956.859,0.0,99.68979457145683,65.61137849531497,0.0,41.32529326669295
Kepler-238 f,Kepler-238,1,5,Transit,2013,50.447,2.0,13.5,568.0,5800.0,0.96,1.06,1798.75,10.0,93.14794927048186,55.936866524158376,0.0,39.77120394866006
WASP-65 b,WASP-65,1,1,Transit,2013,2.3114243,12.464,492.62,1480.0,5600.0,1.01,0.93,273.703,0.0,61.777592798724505,30.853030633271423,0.0,23.157655857998982
Kepler-87 b,Kepler-87,1,2,Transit,2013,114.73635,13.49,324.2,478.0,5600.0,1.82,1.1,1232.9,0.0,70.11283492352156,23.536963440041134,0.0,23.412449590890674
Kepler-145 c,Kepler-145,1,2,Transit,2013,42.882,4.32,79.4,709.0,6022.0,1.85,1.32,566.85,0.0,94.86550923604389,60.02794157184183,0.0,38.72336270197143
Kepler-328 b,Kepler-328,1,2,Transit,2013,34.921,2.3,28.5,602.0,6064.0,1.06,1.15,2213.19,0.0,94.40910020831768,57.504635709656725,0.0,37.9784339794936
KOI-94 b,KOI-94,2,4,Transit,2013,3.743208,1.71,10.5,1486.0,6182.0,1.52,1.277,477.052,0.0,81.40649364049507,80.0,0.0,40.351623410123764
KOI-94 c,KOI-94,2,4,Transit,2013,10.423648,4.32,15.6,1012.0,6182.0,1.52,1.277,477.052,0.0,91.97844874014929,80.0,0.0,42.994612185037326
HD 95086 b,HD 95086,1,1,Imaging,2013,,12.9,1589.0,1000.0,7595.0,1.48667,1.6,86.2279,0.0,63.08401487270767,20.20636893074154,10.0,23.3225959508623
KOI-351 e,KOI-351,1,8,Transit,2013,91.93913,2.66,7.56,450.0,6080.0,1.2,1.2,848.254,0.0,91.53756415558136,50.294533704637196,0.6816408219178065,35.62843467053409
KOI-351 c,KOI-351,1,8,Transit,2013,8.719375,1.19,1.81,987.0,6080.0,1.2,1.2,848.254,30.0,92.05434881347578,80.0,10.71666095890411,53.19275244309497
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,1,1,Microlensing,2013,,13.0,1300.0,,,,0.56,3300.0,0.0,70.30497786027782,30.0,40.0,35.07624446506945
HD 13908 b,HD 13908,1,2,Radial Velocity,2013,19.382,13.9,274.91,,6255.0,1.67,1.29,79.5515,0.0,77.15308674909878,30.0,11.593041095890413,29.686531961247297
GJ 667 C c,GJ 667 C,3,5,Radial Velocity,2013,28.14,1.77,3.8,,3350.0,,0.33,7.24396,50.0,97.83515533536688,30.0,19.21287671232877,49.26200801192392
HD 13908 c,HD 13908,1,2,Radial Velocity,2013,931.0,12.8,1630.4,,6255.0,1.67,1.29,79.5515,0.0,66.26044718137398,30.0,10.0,26.565111795343494
HD 159243 b,HD 159243,1,2,Radial Velocity,2013,12.62,13.7,359.13,,6123.0,1.12,1.125,73.3055,0.0,76.83389696943743,30.0,11.037260273972603,29.46778931085251
GJ 667 C f,GJ 667 C,3,5,Radial Velocity,2013,39.026,1.45,2.7,,3350.0,,0.33,7.24396,60.0,97.20696214166382,30.0,29.707616438356165,54.228644645005
HD 106906 b,HD 106906,1,1,Imaging,2013,,12.4,3496.0,1800.0,6516.0,2.12351,1.5,103.029,0.0,29.392615441072742,0.0,10.0,9.848153860268186
Kepler-282 d,Kepler-282,1,4,Transit,2013,24.806,2.46,61.0,588.0,5656.0,0.89,0.97,1337.61,0.0,94.12838124342342,56.786354738179966,0.0,37.72868399540084
Kepler-276 c,Kepler-276,1,3,Transit,2013,31.884,2.9,16.6,563.0,5693.0,1.03,1.1,1144.86,0.0,94.64924356672519,55.43873547958646,0.0,37.521994761577915
Kepler-305 b,Kepler-305,1,4,Transit,2013,5.487,3.6,10.5,836.0,5080.0,0.8,0.76,868.477,0.0,97.47337656435602,66.76031580840333,0.0,41.05842309318984
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,11.209,7786.5,1600.0,3530.0,0.36645,0.4,33.8281,0.0,0.5465116027328492,0.0,10.0,2.6366279006832123
Kepler-63 b,Kepler-63,1,1,Transit,2013,9.4341505,6.11,120.0,791.0,5576.0,0.901,0.984,194.033,0.0,92.92953683967986,57.96671849885212,0.0,37.72406383463299
ROXs 42 B b,ROXs 42 B,2,1,Imaging,2013,,12.5,2860.0,1975.0,3433.0,1.33658,1.0,143.59,0.0,30.40822807311534,0.0,10.0,10.102057018278835
HD 233604 b,HD 233604,1,1,Radial Velocity,2013,192.0,12.7,2089.644,,4791.0,10.9,1.5,847.058,0.0,63.96173362609557,30.0,25.78082191780822,29.935638885975948
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,14.12,165.26,1600.0,5590.0,1.79,1.09,1045.18,0.0,58.59825523473224,23.430861962681107,0.0,20.507279299353335
