pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
HD 21411 b,HD 21411,1,1,Radial Velocity,2019,84.288,9.52,65.9,,5605.0,0.825605,0.89,29.1328
NGTS-4 b,NGTS-4,1,1,Transit,2019,1.3373508,3.18,20.6,1650.0,5143.0,0.84,0.75,280.555
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,2.882,1.65,3.35,1632.0,6196.0,1.26,1.21,62.5388
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,1,1,Microlensing,2019,,14.0,230.0,,,,0.33,6500.0
HD 45184 b,HD 45184,1,2,Radial Velocity,2019,5.8854,3.52,12.19,,5869.0,1.075139,1.03,21.9532
TOI-270 b,TOI-270,1,3,Transit,2019,3.35992,1.28,1.48,600.0,3506.0,0.38,0.386,22.4793
HD 156279 c,HD 156279,1,2,Radial Velocity,2018,4818.25358,12.5,3098.82696825,,5453.0,0.95,0.94,36.1945
HD 114783 c,HD 114783,1,2,Radial Velocity,2018,4352.0,13.4,603.8739733,,5135.0,0.840622,0.9,21.0628
HD 55696 b,HD 55696,1,1,Radial Velocity,2018,1827.0,12.9,1357.12729789,,6012.0,1.52,1.29,77.9693
HD 148164 b,HD 148164,1,2,Radial Velocity,2018,328.55,13.7,390.9309,,6032.0,1.34,1.21,77.1971
HD 148164 c,HD 148164,1,2,Radial Velocity,2018,5062.0,12.8,1640.0028,,6032.0,1.34,1.21,77.1971
HD 215152 c,HD 215152,1,4,Radial Velocity,2018,7.28243,,468.79690033,,4935.0,0.73,0.77,21.5974
OGLE-2016-BLG-1266L b,OGLE-2016-BLG-1266L,1,1,Microlensing,2018,,12.4,3813.940884,,,,0.015,3080.0
K2-194 b,K2-194,1,1,Transit,2018,39.721386,3.64229858,12.9,,5979.0,1.281115,1.110086,629.51
OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,1,1,Microlensing,2018,,13.2,860.0,,,,0.33,6900.0
HD 215152 b,HD 215152,1,4,Radial Velocity,2018,5.75999,,565.41673605,,4935.0,0.73,0.77,21.5974
HAT-P-11 c,HAT-P-11,1,2,Radial Velocity,2018,3361.0,13.2,851.78013076,,4653.0,0.683,0.811,37.7647
K2-138 c,K2-138,1,6,Transit,2017,3.56004,2.299,6.31,1012.0,5356.3,0.863,0.935,202.585
K2-138 f,K2-138,1,6,Transit,2017,12.75758,2.904,1.63,653.0,5356.3,0.863,0.935,202.585
K2-138 e,K2-138,1,6,Transit,2017,8.26146,3.39,12.97,757.0,5356.3,0.863,0.935,202.585
HD 3167 d,HD 3167,1,4,Radial Velocity,2017,8.4112,1.92,4.33,859.5,5261.0,0.88,0.837,47.2899
WASP-53 b,WASP-53,1,2,Transit,2017,3.3098443,12.038466,677.61356,1053.0,4953.0,0.798,0.839,201.338
HD 27894 c,HD 27894,1,3,Radial Velocity,2017,36.07,8.24,51.48846,,4875.0,0.891767,0.8,43.8214
HD 27894 d,HD 27894,1,3,Radial Velocity,2017,5019.54244,12.7,2063.65984665,,4875.0,0.891767,0.81,43.8214
K2-138 d,K2-138,1,6,Transit,2017,5.40479,2.39,7.92,888.0,5356.3,0.863,0.935,202.585
K2-138 b,K2-138,1,6,Transit,2017,2.35309,1.51,3.1,1157.0,5356.3,0.863,0.935,202.585
Kepler-1515 b,Kepler-1515,1,1,Transit,2016,214.3114164,9.55,66.2,380.0,6511.0,1.41,1.3,539.321
Kepler-1176 b,Kepler-1176,1,1,Transit,2016,24.1738579,2.45,6.57,595.0,5844.0,1.02,1.01,864.699
Kepler-953 c,Kepler-953,1,2,Transit,2016,9.10967112,1.19,1.81,873.0,5416.0,0.99,0.95,258.893
Kepler-1421 b,Kepler-1421,1,1,Transit,2016,6.9131112,0.93,0.749,1209.0,6335.0,1.42,1.25,783.401
