t,S,N,C,delta
684,0.22233112,0.48787884,0.28979004,0.00409163
685,0.21596570,0.50006514,0.28396916,0.01493008
686,0.21044115,0.50006216,0.28949669,0.00781500
687,0.21714126,0.48670579,0.29615295,0.01635818
688,0.21598863,0.49319568,0.29081569,0.00848137
689,0.21830673,0.47790914,0.30378413,0.02018000
690,0.21423745,0.47983509,0.30592746,0.00498620
691,0.21058840,0.49240156,0.29701003,0.01583516
692,0.21657427,0.48753243,0.29589331,0.00779655
693,0.20832151,0.49392358,0.29775492,0.01060285
694,0.21291307,0.48827993,0.29880701,0.00735120
695,0.20828281,0.49353172,0.29818547,0.00702901
696,0.21109940,0.48749515,0.30140546,0.00739877
697,0.21121658,0.47816100,0.31062242,0.01311840
698,0.21114480,0.47232695,0.31652825,0.00830181
699,0.21784429,0.46549528,0.31666043,0.00956934
