t,S,N,C,delta,phase4_active
10354,0.99633395,0.00163336,0.00203270,0.00025352,1
10355,0.99624904,0.00166843,0.00208253,0.00010451,1
10356,0.99640140,0.00158586,0.00201274,0.00018682,1
10357,0.99629949,0.00164580,0.00205471,0.00012546,1
10358,0.99630088,0.00160290,0.00209622,0.00005972,1
10359,0.99635969,0.00159033,0.00204999,0.00007585,1
10360,0.99626522,0.00164434,0.00209044,0.00011609,1
10361,0.99632736,0.00164072,0.00203192,0.00008544,1
10362,0.99644148,0.00156416,0.00199436,0.00014246,1
10363,0.99654368,0.00154476,0.00191155,0.00013296,1
10364,0.99675832,0.00143100,0.00181068,0.00026304,1
10365,0.99676893,0.00143524,0.00179583,0.00001873,1
10366,0.99671616,0.00145894,0.00182490,0.00006474,1
10367,0.99667857,0.00144955,0.00187188,0.00006090,1
10368,0.99671892,0.00146429,0.00181679,0.00006986,1
10369,0.99667127,0.00147890,0.00184983,0.00005979,1
10370,0.99678428,0.00144334,0.00177238,0.00014154,1
10371,0.99683170,0.00140959,0.00175871,0.00005979,1
10372,0.99667297,0.00151446,0.00181257,0.00019773,1
10373,0.99670382,0.00148631,0.00180987,0.00004186,1
10374,0.99675344,0.00154136,0.00170520,0.00012825,1
10375,0.99682611,0.00150503,0.00166886,0.00008900,1
10376,0.99686683,0.00150084,0.00163233,0.00005488,1
10377,0.99669919,0.00161104,0.00168977,0.00020868,1
10378,0.99667247,0.00160449,0.00172304,0.00004317,1
10379,0.99653970,0.00166099,0.00179932,0.00016322,1
10380,0.99648828,0.00164364,0.00186808,0.00008760,1
10381,0.99674864,0.00149451,0.00175686,0.00031999,1
10382,0.99672179,0.00149444,0.00178377,0.00003802,1
10383,0.99673365,0.00150918,0.00175717,0.00003265,1
10384,0.99651821,0.00164536,0.00183643,0.00026691,1
10385,0.99648208,0.00166760,0.00185032,0.00004464,1
10386,0.99649927,0.00162554,0.00187520,0.00005180,1
10387,0.99643542,0.00166420,0.00190039,0.00007878,1
10388,0.99643440,0.00163425,0.00193135,0.00004309,1
10389,0.99630968,0.00168284,0.00200748,0.00015398,1
10390,0.99619541,0.00174336,0.00206123,0.00014004,1
10391,0.99623387,0.00172023,0.00204590,0.00004742,1
10392,0.99614116,0.00176321,0.00209563,0.00011364,1
10393,0.99592537,0.00186452,0.00221011,0.00026446,1
10394,0.99569236,0.00200413,0.00230351,0.00028724,1
10395,0.99555973,0.00211739,0.00232288,0.00017548,1
10396,0.99550186,0.00216219,0.00233596,0.00007434,1
10397,0.99526433,0.00235890,0.00237678,0.00031110,1
10398,0.99527035,0.00233636,0.00239329,0.00002858,1
10399,0.99546592,0.00223114,0.00230294,0.00023975,1
10400,0.99569372,0.00211047,0.00219581,0.00027916,1
10401,0.99595417,0.00197479,0.00207103,0.00031908,1
10402,0.99618969,0.00179389,0.00201641,0.00030196,1
10403,0.99595604,0.00185359,0.00219037,0.00029735,1
10404,0.99604480,0.00181654,0.00213866,0.00010920,1
10405,0.99608415,0.00178752,0.00212833,0.00004997,1
10406,0.99614612,0.00177686,0.00207702,0.00008116,1
10407,0.99604338,0.00180698,0.00214964,0.00012937,1
10408,0.99609518,0.00181691,0.00208790,0.00008120,1
10409,0.99618679,0.00174834,0.00206487,0.00011672,1
10410,0.99618288,0.00177535,0.00204177,0.00003576,1
10411,0.99630854,0.00173843,0.00195303,0.00015820,1
10412,0.99637866,0.00175736,0.00186397,0.00011492,1
10413,0.99623040,0.00185531,0.00191428,0.00018468,1
10414,0.99634986,0.00185610,0.00179404,0.00016949,1
10415,0.99652775,0.00172779,0.00174445,0.00022487,1
10416,0.99658841,0.00175671,0.00165489,0.00011197,1
10417,0.99650228,0.00178756,0.00171016,0.00010688,1
10418,0.99642312,0.00178588,0.00179100,0.00011316,1
10419,0.99641427,0.00178396,0.00180177,0.00001407,1
10420,0.99649760,0.00174398,0.00175843,0.00010208,1
10421,0.99651033,0.00177516,0.00171451,0.00005535,1
10422,0.99654243,0.00177827,0.00167930,0.00004775,1
10423,0.99664184,0.00170558,0.00165258,0.00012601,1
10424,0.99672791,0.00166695,0.00160514,0.00010560,1
10425,0.99681513,0.00161163,0.00157324,0.00010810,1
10426,0.99650794,0.00178571,0.00170635,0.00037735,1
10427,0.99659205,0.00176990,0.00163804,0.00010951,1
10428,0.99665347,0.00171935,0.00162718,0.00008028,1
10429,0.99655548,0.00177383,0.00167069,0.00012027,1
10430,0.99652491,0.00177313,0.00170197,0.00004374,1
10431,0.99660151,0.00173586,0.00166263,0.00009383,1
10432,0.99635508,0.00189939,0.00174552,0.00030715,1
10433,0.99655099,0.00183952,0.00160949,0.00024591,1
10434,0.99654139,0.00183698,0.00162163,0.00001569,1
