index,prime,gap_to_next
976,7691,8.0
977,7699,4.0
978,7703,14.0
979,7717,6.0
980,7723,4.0
981,7727,14.0
982,7741,12.0
983,7753,4.0
984,7757,2.0
985,7759,30.0
986,7789,4.0
987,7793,24.0
988,7817,6.0
989,7823,6.0
990,7829,12.0
991,7841,12.0
992,7853,14.0
993,7867,6.0
994,7873,4.0
995,7877,2.0
996,7879,4.0
997,7883,18.0
998,7901,6.0
999,7907,12.0
1000,7919,
