time_tag,dsflag_de1,dsflag_de4,dsflag_p1,dsflag_p3,dsflag_p5,dsflag_p7,dsflag_fp6p,numpts_de1,numpts_de4,numpts_p1,numpts_p3,numpts_p5,numpts_p7,numpts_fp6p,de1,de4,p1,p3,p5,p7,fp6p,fp6p_ratio,dsflag_p2,dsflag_p4,dsflag_p6,dsflag_p8,numpts_p2,numpts_p4,numpts_p6,numpts_p8,p2,p4,p6,p8,dsflag_p1_30,dsflag_p2_30,dsflag_p4_30,dsflag_p3_30,dsflag_p5_30,dsflag_p6_30,dsflag_p7_30,dsflag_p8_30,numpts_p1_30,numpts_p2_30,numpts_p3_30,numpts_p4_30,numpts_p5_30,numpts_p6_30,numpts_p7_30,numpts_p8_30,p1_30,p2_30,p3_30,p4_30,p5_30,p6_30,p7_30,p8_30
2025-12-06T02:05:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2889.4121,18.274136,7660.7534,46.188725,16.643354,3.6303234,11.788428,,0,0,0,0,182,182,91,91,114.11605,27.481611,9.4235344,0.91504997,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13298.834,4323827.5,352283.75,1451.3829,20.401527,10.466235,4.7316732,1.0330751
2025-12-06T02:00:00,0,0,0,0,0,0,0,46,46,183,183,183,91,91,2850.9458,15.748765,8445.3545,55.624016,16.025791,3.7124591,11.674689,,0,0,0,0,183,183,91,91,186.64009,28.653122,8.8659725,0.79767036,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12436.166,4295617.5,345237.09,1406.1193,20.693356,10.313091,4.8392038,0.88636732
2025-12-06T01:55:00,0,0,0,0,0,0,0,49,49,198,198,198,99,99,2772.1519,16.57625,8138.0894,46.014236,17.162804,4.052814,11.097706,,0,0,0,0,198,198,99,99,107.74533,27.863766,9.8188324,0.98652321,0,0,0,0,0,0,0,0,49,49,49,49,25,25,25,25,11780.826,4210790.0,310496.38,1111.4221,19.795368,11.458374,4.7274084,0.98376048
2025-12-06T01:50:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3110.8276,16.644707,8768.1523,58.849163,14.657286,3.3727431,11.401469,,0,0,0,0,182,182,91,91,244.62627,25.184933,8.4221497,0.89439172,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12676.922,4208126.5,304170.38,1054.5643,21.516897,11.918268,4.6184001,1.0490844
2025-12-06T01:45:00,0,0,0,0,0,0,0,46,46,185,185,185,92,92,3192.5088,19.040474,7887.3613,45.091267,13.469814,3.5487821,11.797243,,0,0,0,0,185,185,92,92,146.45746,22.781221,7.5717688,0.75727338,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,11538.486,4208126.0,316834.66,1336.4813,20.785629,11.213731,4.7991614,1.1493181
2025-12-06T01:40:00,0,0,0,0,0,0,0,49,49,196,196,196,98,98,3371.0876,16.577284,8493.2793,49.161526,13.652521,3.0586271,11.208313,,0,0,0,0,196,196,98,98,153.50545,25.095821,7.3852425,0.81640393,0,0,0,0,0,0,0,0,49,49,49,49,24,24,24,24,11798.435,4208126.5,309151.56,1052.5104,18.810141,11.063108,5.2497158,1.0672919
2025-12-06T01:35:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3355.5728,19.436346,8662.751,50.357609,13.385408,3.6933658,12.747031,,0,0,0,0,182,182,91,91,170.83264,21.026712,7.2341704,0.85058528,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13149.062,4246071.5,321281.75,1155.7693,22.600567,12.722848,5.4729834,1.1342165
2025-12-06T01:30:00,0,0,0,0,0,0,0,47,47,187,187,187,93,93,3194.498,19.788076,8123.4819,41.958595,14.706719,3.6064243,11.659084,,0,0,0,0,187,187,93,93,181.3654,24.583466,8.3861265,0.76598239,0,0,0,0,0,0,0,0,47,47,47,47,23,23,23,23,12713.936,4310754.5,335373.78,1046.6038,25.370882,14.159108,5.316977,1.1191641
2025-12-06T01:25:00,0,0,0,0,0,0,0,48,48,194,194,194,97,97,3352.2002,15.908172,8428.4072,50.679028,14.188668,4.0494466,12.678382,,0,0,0,0,194,194,97,97,192.34908,26.35544,8.1545496,0.75700897,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,24,12683.323,4297922.0,332926.88,1109.7898,21.721361,12.660585,4.9476557,1.1056045
2025-12-06T01:20:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3346.252,19.786758,8253.2207,47.36216,13.959931,3.4255965,11.554744,,0,0,0,0,182,182,91,91,153.27765,22.003117,7.4937062,0.82144225,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,22,12814.331,4327743.0,337188.03,1291.8344,24.054707,11.986245,5.036252,1.0801789
2025-12-06T01:15:00,0,0,0,0,0,0,0,47,47,189,189,189,94,94,3709.2649,15.010645,8087.4609,48.10146,14.753436,3.3874004,11.958731,,0,0,0,0,189,189,94,94,142.78918,24.951809,7.8052592,0.81074744,0,0,0,0,0,0,0,0,47,47,47,47,24,24,24,24,14346.47,4335410.5,369018.34,1405.9033,28.544735,14.126157,5.8705897,1.1318396
2025-12-06T01:10:00,0,0,0,0,0,0,0,48,48,192,192,192,96,96,3366.2813,15.441557,9006.8838,67.774673,14.417814,3.56794,12.458553,,0,0,0,0,192,192,96,96,388.13177,25.591774,8.0478678,0.72617406,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,24,13792.3,4343872.0,376473.69,1486.676,27.090242,12.603232,5.6625953,1.3061775
2025-12-06T01:05:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3436.4644,12.334604,9704.1279,68.738152,13.766772,3.2380626,11.384508,,0,0,0,0,182,182,91,91,435.108,23.998384,7.6243215,0.79073167,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13252.477,4337905.0,358871.22,1273.9172,22.240005,12.927894,5.544723,1.0957941
